player_id,name,sub_position,age,snapshot_date,horizon_months,outcome_due_date,model,current_value_eur,predicted_pct_change,predicted_value_eur,pct_q10,pct_q90
3333,James Milner,Central Midfield,40.41067761806981,2026-06-03,3,2026-10-13,xgboost,500000,-0.1778434,411078.2966017723,-0.41693714,0.02064693
16306,Casemiro,Defensive Midfield,34.275154004106774,2026-06-03,3,2026-10-13,xgboost,6000000,-0.23612605,4583243.697881699,-0.37601417,0.004415402
29692,Lukasz Fabianski,Goalkeeper,41.125256673511295,2026-06-03,3,2026-10-13,xgboost,150000,-0.28843996,106734.00610685349,-0.45883355,0.028484277
29712,John Ruddy,Goalkeeper,39.60848733744011,2026-06-03,3,2026-10-13,xgboost,100000,0.0155763095,101557.63095244765,-0.45449597,0.42823905
34130,Tom Heaton,Goalkeeper,40.134154688569474,2026-06-03,3,2026-10-13,xgboost,100000,-0.09197623,90802.37671732903,-0.4589681,0.12154123
51471,Mateo Kovacic,Central Midfield,32.0766598220397,2026-06-03,3,2026-10-13,xgboost,10000000,-0.23224452,7677554.786205292,-0.32039434,-0.024874719
52570,Fraser Forster,Goalkeeper,38.21218343600274,2026-06-03,3,2026-10-13,xgboost,400000,-0.25172564,299309.7424507141,-0.43730184,0.11799061
61651,Jordan Henderson,Defensive Midfield,35.96167008898015,2026-06-03,3,2026-10-13,xgboost,1200000,-0.21928975,936852.3001670837,-0.41831213,0.012250594
61841,Adam Smith,Right-Back,35.096509240246405,2026-06-03,3,2026-10-13,xgboost,300000,-0.22198297,233405.1087498665,-0.4425994,0.007816716
63200,Ashley Barnes,Centre-Forward,36.591375770020534,2026-06-03,3,2026-10-13,xgboost,150000,-0.32493487,101259.76949930191,-0.47005913,-0.011789734
67063,Danny Welbeck,Centre-Forward,35.51813826146475,2026-06-03,3,2026-10-13,xgboost,3000000,-0.24275576,2271732.732653618,-0.37947246,0.027485007
68390,Séamus Coleman,Right-Back,37.64271047227926,2026-06-03,3,2026-10-13,xgboost,200000,-0.35234383,129531.23450279236,-0.50132614,-0.023513058
72476,Bernd Leno,Goalkeeper,34.247775496235455,2026-06-03,3,2026-10-13,xgboost,6000000,-0.26588362,4404698.2526779175,-0.39650202,0.015836345
73564,Jason Steele,Goalkeeper,35.79192334017796,2026-06-03,3,2026-10-13,xgboost,500000,-0.2214731,389263.45109939575,-0.42191586,0.0047496553
74960,Martin Dúbravka,Goalkeeper,37.379876796714576,2026-06-03,3,2026-10-13,xgboost,500000,-0.15593109,422034.45732593536,-0.41052738,0.02275673
82873,Pascal Groß,Central Midfield,34.9678302532512,2026-06-03,3,2026-10-13,xgboost,2500000,-0.20691672,1982708.2008123398,-0.3835645,-0.005022033
85177,Nathaniel Clyne,Right-Back,35.162217659137575,2026-06-03,3,2026-10-13,xgboost,300000,-0.23103026,230690.92333316803,-0.4494615,-0.0052867783
